<abingdon:FastEthernet0/0, bristol:FastEthernet0/0>
<dickson:FastEthernet0/1, huntingdon:FastEthernet0/0>
<dickson:FastEthernet1/0, nashville:FastEthernet0/0>
<dixon:FastEthernet0/0, rochelle:FastEthernet0/1>
<dixon:FastEthernet0/1, rockford:FastEthernet1/0>
<dixon:FastEthernet1/0, sterling:FastEthernet0/1>
<dodgeville:FastEthernet0/0, platteville:FastEthernet0/1>
<dodgeville:FastEthernet0/1, reedburg:FastEthernet0/1>
<dothan:FastEthernet0/0, cottondale:FastEthernet0/1>
<dothan:FastEthernet0/1, enteprise:FastEthernet0/0>
<dubuque:FastEthernet0/0, macquoketa:FastEthernet0/1>
<dubuque:FastEthernet0/1, scalesttmound:FastEthernet0/0>
<duluth:FastEthernet0/0, mcgregor:FastEthernet0/1>
<duluth:FastEthernet0/1, superior:FastEthernet0/0>
<dunwoody:FastEthernet0/0, atlantaid697:FastEthernet0/1>
<dunwoody:FastEthernet0/1, norcross:FastEthernet0/1>
<durham:FastEthernet0/0, burlington:FastEthernet0/0>
<durham:FastEthernet0/1, raleigh:FastEthernet0/0>
<duttquoin:FastEthernet0/0, marissa:FastEthernet0/1>
<duttquoin:FastEthernet0/1, nodeid627:FastEthernet0/1>
<dyersburg:FastEthernet0/0, covingtonid234:FastEthernet0/0>
<dyersburg:FastEthernet0/1, unionttcity:FastEthernet0/0>
<eastlake:FastEthernet0/0, ashtabula:FastEthernet0/0>
<eastlake:FastEthernet0/1, clevelandid403:FastEthernet0/1>
<eauttclaire:FastEthernet0/0, boyceville:FastEthernet0/0>
<eauttclaire:FastEthernet0/1, chippenwattfalls:FastEthernet0/0>
<eauttclaire:FastEthernet1/0, hudson:FastEthernet0/0>
<eauttclaire:FastEthernet1/1, marshfield:FastEthernet0/0>
<edwardsville:FastEthernet0/0, alton:FastEthernet0/0>
<edwardsville:FastEthernet0/1, litchfield:FastEthernet0/0>
<edwardsville:FastEthernet1/0, nodeid634:FastEthernet1/0>
<effingham:FastEthernet0/0, mattoon:FastEthernet0/1>
<effingham:FastEthernet0/1, salem:FastEthernet0/1>
<elaine:FastEthernet0/0, helena:FastEthernet0/0>
<eldorado:FastEthernet0/0, harrisburgid362:FastEthernet0/0>
<eldorado:FastEthernet0/1, norristtcity:FastEthernet0/0>
<elgin:FastEthernet0/0, aurora:FastEthernet0/1>
<elgin:FastEthernet0/1, rockford:FastEthernet1/1>
<elgin:FastEthernet1/0, schaumburg:FastEthernet0/1>
<elizabethttcity:FastEthernet0/0, chesapeake:FastEthernet0/0>
<elizabethttcity:FastEthernet0/1, hertford:FastEthernet0/0>
<elizabethtttown:FastEthernet0/0, beaverttdam:FastEthernet0/0>
<elizabethtttown:FastEthernet0/1, nodeid296:FastEthernet0/0>
<elizabethtttown:FastEthernet1/0, nodeid628:FastEthernet0/0>
<elkhart:FastEthernet0/0, fortttwayne:FastEthernet0/0>
<elkhart:FastEthernet0/1, goshen:FastEthernet0/0>
<elkhart:FastEthernet1/0, kalamazoo:FastEthernet1/0>
<elkhart:FastEthernet1/1, lagrange:FastEthernet0/1>
<elkhart:FastEthernet2/0, mishiwaka:FastEthernet0/0>
<elktor:FastEthernet0/0, baltimore:FastEthernet0/0>
<elktor:FastEthernet0/1, wilmington:FastEthernet0/0>
<emporia:FastEthernet0/0, ronoakettrapids:FastEthernet0/0>
<emporia:FastEthernet0/1, southtthill:FastEthernet0/1>
<enteprise:FastEthernet0/0, dothan:FastEthernet0/1>
<enteprise:FastEthernet0/1, troy:FastEthernet0/0>
<erie:FastEthernet0/0, ashtabula:FastEthernet0/1>
<erie:FastEthernet0/1, meadville:FastEthernet0/0>
<escanaba:FastEthernet0/0, ironttmountain:FastEthernet0/0>
<escanaba:FastEthernet0/1, marquette:FastEthernet0/0>
<estill:FastEthernet0/0, allendale:FastEthernet0/1>
<estill:FastEthernet0/1, savannah:FastEthernet0/0>
<eufaula:FastEthernet0/0, auburnid467:FastEthernet0/0>
<eufaula:FastEthernet0/1, troy:FastEthernet0/1>
<evansville:FastEthernet0/0, henderson:FastEthernet0/0>
<evansville:FastEthernet0/1, princeton:FastEthernet0/0>
<evendale:FastEthernet0/0, cincinnati:FastEthernet1/0>
<evendale:FastEthernet0/1, nodeid343:FastEthernet0/1>
<evergreen:FastEthernet0/0, repton:FastEthernet0/1>
<evergreen:FastEthernet0/1, thomasville:FastEthernet0/0>
<fairfield:FastEthernet0/0, mtttvernon:FastEthernet1/0>
<fairfield:FastEthernet0/1, nodeid632:FastEthernet0/1>
<fairmont:FastEthernet0/0, albertttlea:FastEthernet0/1>
<fairmont:FastEthernet0/1, worthington:FastEthernet0/0>
<fargo:FastEthernet0/0, moorhead:FastEthernet0/0>
<farmville:FastEthernet0/0, keysville:FastEthernet0/0>
<farmville:FastEthernet0/1, lynchburgid671:FastEthernet0/1>
<fayette:FastEthernet0/0, toledo:FastEthernet1/1>
<fayetteville:FastEthernet0/0, fortttsmith:FastEthernet0/1>
<fayetteville:FastEthernet0/1, springdale:FastEthernet0/0>
<fergusttfalls:FastEthernet0/0, alexandriaid749:FastEthernet0/0>
<fergusttfalls:FastEthernet0/1, moorhead:FastEthernet0/1>
<findlay:FastEthernet0/0, bowlingttgreen:FastEthernet0/0>
<findlay:FastEthernet0/1, lima:FastEthernet0/0>
<flatonia:FastEthernet0/0, sealy:FastEthernet0/0>
<flatonia:FastEthernet0/1, seguin:FastEthernet0/0>
<flint:FastEthernet0/0, pontiac:FastEthernet0/0>
<flint:FastEthernet0/1, saginaw:FastEthernet0/0>
<flora:FastEthernet0/0, olney:FastEthernet0/0>
<flora:FastEthernet0/1, salem:FastEthernet1/0>
<florence:FastEthernet0/0, covington:FastEthernet0/1>
<florence:FastEthernet0/1, nodeid69:FastEthernet0/1>
<florenceid274:FastEthernet0/0, killen:FastEthernet0/0>
<florenceid274:FastEthernet0/1, russellville:FastEthernet0/1>
<folkston:FastEthernet0/0, jacksonvilleid684:FastEthernet0/1>
<folkston:FastEthernet0/1, jesup:FastEthernet0/0>
<fondttduttlac:FastEthernet0/0, beaverttdamid344:FastEthernet0/0>
<fondttduttlac:FastEthernet0/1, menomonee:FastEthernet0/1>
<fondttduttlac:FastEthernet1/0, oshkosh:FastEthernet0/0>
<fontanattvillage:FastEthernet0/0, maryville:FastEthernet0/0>
<forest:FastEthernet0/0, jacksonid434:FastEthernet0/1>
<forest:FastEthernet0/1, meridian:FastEthernet0/1>
<forrestttcity:FastEthernet0/0, nodeid635:FastEthernet1/0>
<forrestttcity:FastEthernet0/1, westttmemphis:FastEthernet0/0>
<fortttknox:FastEthernet0/0, owensboro:FastEthernet0/0>
<fortttknox:FastEthernet0/1, shepherdsville:FastEthernet0/0>
<fortttsmith:FastEthernet0/0, clarksvilleid402:FastEthernet0/0>
<fortttsmith:FastEthernet0/1, fayetteville:FastEthernet0/0>
<fortttsmith:FastEthernet1/0, muskogee:FastEthernet0/0>
<fortttvalley:FastEthernet0/0, americus:FastEthernet0/1>
<fortttvalley:FastEthernet0/1, macon:FastEthernet0/1>
<fortttwayne:FastEthernet0/0, elkhart:FastEthernet0/0>
<fortttwayne:FastEthernet0/1, lima:FastEthernet0/1>
<fortttwayne:FastEthernet1/0, nodeid338:FastEthernet0/1>
<fortttworth:FastEthernet0/0, dallas:FastEthernet0/1>
<fortttworth:FastEthernet0/1, denton:FastEthernet0/1>
<frankfort:FastEthernet0/0, indianapolis:FastEthernet0/1>
<frankfort:FastEthernet0/1, wolcott:FastEthernet0/0>
<frankfortid491:FastEthernet0/0, lexington:FastEthernet0/1>
<frankfortid491:FastEthernet0/1, shelbyvilleid492:FastEthernet0/1>
<franklin:FastEthernet0/0, columbia:FastEthernet0/1>
<franklin:FastEthernet0/1, nashville:FastEthernet0/1>
<franklinid203:FastEthernet0/0, greenwood:FastEthernet0/0>
<franklinid203:FastEthernet0/1, martinsvilleid200:FastEthernet0/1>
<franklinid253:FastEthernet0/0, bowlingttgreenid250:FastEthernet0/0>
<franklinid253:FastEthernet0/1, nashville:FastEthernet1/0>
<franklinid606:FastEthernet0/0, meadville:FastEthernet0/1>
<franklinid606:FastEthernet0/1, shippenville:FastEthernet0/1>
<franklinid613:FastEthernet0/0, bloomington:FastEthernet0/1>
<franklinid613:FastEthernet0/1, scottsburg:FastEthernet0/0>
<franklinid613:FastEthernet1/0, shelbyville:FastEthernet0/0>
<frederick:FastEthernet0/0, hagerstown:FastEthernet0/1>
<frederick:FastEthernet0/1, leesburg:FastEthernet0/1>
<fredericksburg:FastEthernet0/0, richmond:FastEthernet0/0>
<fredericksburg:FastEthernet0/1, warsaw:FastEthernet0/0>
<fredericksburg:FastEthernet1/0, washingtonttdc:FastEthernet1/0>
<freeport:FastEthernet0/0, rockford:FastEthernet2/0>
<freeport:FastEthernet0/1, scalesttmound:FastEthernet0/1>
<freeportid750:FastEthernet0/0, alexandriaid749:FastEthernet0/1>
<freeportid750:FastEthernet0/1, newttlondon:FastEthernet0/0>
<freeportid750:FastEthernet1/0, stttcloud:FastEthernet0/0>
<fremont:FastEthernet0/0, norwalk:FastEthernet0/0>
<fremont:FastEthernet0/1, toledo:FastEthernet2/0>
<frenchttlick:FastEthernet0/0, loogootee:FastEthernet0/0>
<frenchttlick:FastEthernet0/1, paoli:FastEthernet0/0>
<frontttroyal:FastEthernet0/0, manassas:FastEthernet0/0>
<frontttroyal:FastEthernet0/1, winchesterid572:FastEthernet0/0>
<gadsden:FastEthernet0/0, albertville:FastEthernet0/0>
<gadsden:FastEthernet0/1, anniston:FastEthernet0/0>
<galesburg:FastEthernet0/0, davenport:FastEthernet0/1>
<galesburg:FastEthernet0/1, peoria:FastEthernet1/0>
<gary:FastEthernet0/0, chicago:FastEthernet0/0>
<gary:FastEthernet0/1, valparaiso:FastEthernet0/0>
<garyid240:FastEthernet0/0, garyid243:FastEthernet0/0>
<garyid240:FastEthernet0/1, oakttbrook:FastEthernet0/1>
<garyid240:FastEthernet1/0, remington:FastEthernet0/0>
<garyid243:FastEthernet0/0, garyid240:FastEthernet0/0>
<garyid243:FastEthernet0/1, michiganttcity:FastEthernet0/0>
<georgetown:FastEthernet0/0, austinid598:FastEthernet0/0>
<georgetown:FastEthernet0/1, temple:FastEthernet0/0>
<georgetownid493:FastEthernet0/0, lexington:FastEthernet1/0>
<glasgow:FastEthernet0/0, nodeid210:FastEthernet0/1>
<glasgow:FastEthernet0/1, nodeid372:FastEthernet0/0>
<glenttlyn:FastEthernet0/0, beckley:FastEthernet0/1>
<glenttlyn:FastEthernet0/1, bluefield:FastEthernet0/0>
<glenttlyn:FastEthernet1/0, roanoke:FastEthernet0/1>
<goshen:FastEthernet0/0, elkhart:FastEthernet0/1>
<goshen:FastEthernet0/1, kendalville:FastEthernet1/1>
<grandtthaven:FastEthernet0/0, holland:FastEthernet0/1>
<grandtthaven:FastEthernet0/1, muskegon:FastEthernet0/0>
<grandttrapids:FastEthernet0/0, byronttcenter:FastEthernet0/0>
<grandttrapids:FastEthernet0/1, muskegon:FastEthernet0/1>
<granitettfalls:FastEthernet0/0, marshallid618:FastEthernet0/0>
<granitettfalls:FastEthernet0/1, montevideo:FastEthernet0/0>
<grayling:FastEthernet0/0, cadillac:FastEthernet0/1>
<grayling:FastEthernet0/1, traversettcity:FastEthernet0/1>
<greencastle:FastEthernet0/0, brazil:FastEthernet0/0>
<greencastle:FastEthernet0/1, plainfield:FastEthernet0/0>
<greensboro:FastEthernet0/0, burlington:FastEthernet0/1>
<greensboro:FastEthernet0/1, winstondashsalem:FastEthernet0/0>
<greensboroid558:FastEthernet0/0, demopolis:FastEthernet0/0>
<greensboroid558:FastEthernet0/1, selma:FastEthernet0/0>
<greensburg:FastEthernet0/0, batesville:FastEthernet0/1>
<greensburg:FastEthernet0/1, shelbyville:FastEthernet0/1>
<greensburgid593:FastEthernet0/0, johnstown:FastEthernet1/0>
<greensburgid593:FastEthernet0/1, pittsburgh:FastEthernet0/0>
<greenttbay:FastEthernet0/0, dettpere:FastEthernet0/1>
<greenttbay:FastEthernet0/1, ironttmountain:FastEthernet0/1>
<greenttbay:FastEthernet1/0, manitowoc:FastEthernet0/0>
<greenttbay:FastEthernet1/1, wausau:FastEthernet0/0>
<greenville:FastEthernet0/0, nodeid347:FastEthernet0/0>
<greenville:FastEthernet0/1, nodeid60:FastEthernet0/0>
<greenvilleid685:FastEthernet0/0, livettoak:FastEthernet0/0>
<greenvilleid685:FastEthernet0/1, tallahassee:FastEthernet0/1>
<greenwood:FastEthernet0/0, franklinid203:FastEthernet0/0>
<greenwood:FastEthernet0/1, indianapolis:FastEthernet1/0>
<greenwoodid641:FastEthernet0/0, marks:FastEthernet0/0>
<greenwoodid641:FastEthernet0/1, yazoottcity:FastEthernet0/0>
<griffin:FastEthernet0/0, atlantaid697:FastEthernet1/0>
<griffin:FastEthernet0/1, barnesville:FastEthernet0/0>
<gulfport:FastEthernet0/0, biloxi:FastEthernet0/0>
<gulfport:FastEthernet0/1, slidell:FastEthernet0/1>
<guntersville:FastEthernet0/0, albertville:FastEthernet0/1>
<guntersville:FastEthernet0/1, huntsville:FastEthernet0/1>
<hagerstown:FastEthernet0/0, chambersburg:FastEthernet0/0>
<hagerstown:FastEthernet0/1, frederick:FastEthernet0/0>
<hagerstown:FastEthernet1/0, martinsburg:FastEthernet0/0>
<hamburg:FastEthernet0/0, bastrop:FastEthernet0/0>
<hamburg:FastEthernet0/1, monroe:FastEthernet0/0>
<hamburg:FastEthernet1/0, monticello:FastEthernet0/0>
<hamilton:FastEthernet0/0, cincinnati:FastEthernet1/1>
<hamilton:FastEthernet0/1, middletown:FastEthernet0/0>
<hammond:FastEthernet0/0, covingtonid322:FastEthernet0/0>
<hammond:FastEthernet0/1, kentwood:FastEthernet0/0>
<hammond:FastEthernet1/0, newttorleans:FastEthernet0/1>
<hancock:FastEthernet0/0, ironwood:FastEthernet0/0>
<hancock:FastEthernet0/1, marquette:FastEthernet0/1>
<harlan:FastEthernet0/0, pineville:FastEthernet0/1>
<harlan:FastEthernet0/1, whitesburg:FastEthernet0/0>
<harrisburg:FastEthernet0/0, chambersburg:FastEthernet0/1>
<harrisburg:FastEthernet0/1, lebanonid132:FastEthernet0/0>
<harrisburg:FastEthernet1/0, newport:FastEthernet0/0>
<harrisburgid362:FastEthernet0/0, eldorado:FastEthernet0/0>
<harrisburgid362:FastEthernet0/1, marion:FastEthernet0/1>
<harrisonville:FastEthernet0/0, kansasttcity:FastEthernet0/0>
<harrisonville:FastEthernet0/1, nevada:FastEthernet0/0>
<hattiesburg:FastEthernet0/0, mccomb:FastEthernet0/1>
<hattiesburg:FastEthernet0/1, meridian:FastEthernet1/0>
<hayward:FastEthernet0/0, spooner:FastEthernet0/0>
<hayward:FastEthernet0/1, superior:FastEthernet0/1>
<hazard:FastEthernet0/0, hyden:FastEthernet0/0>
<hazard:FastEthernet0/1, pikeville:FastEthernet0/0>
<hazard:FastEthernet1/0, richmondid293:FastEthernet1/0>
<heathsville:FastEthernet0/0, kilmarnock:FastEthernet0/0>
<heathsville:FastEthernet0/1, warsaw:FastEthernet0/1>
<helena:FastEthernet0/0, elaine:FastEthernet0/0>
<helena:FastEthernet0/1, marienna:FastEthernet0/0>
<helena:FastEthernet1/0, marvell:FastEthernet0/1>
<henderson:FastEthernet0/0, evansville:FastEthernet0/0>
<henderson:FastEthernet0/1, madisonville:FastEthernet0/1>
<henderson:FastEthernet1/0, owensboro:FastEthernet0/1>
<hertford:FastEthernet0/0, elizabethttcity:FastEthernet0/1>
<hertford:FastEthernet0/1, windsor:FastEthernet0/0>
<holland:FastEthernet0/0, bentonttharbor:FastEthernet0/0>
<holland:FastEthernet0/1, grandtthaven:FastEthernet0/0>
<hollyttsprings:FastEthernet0/0, corinth:FastEthernet0/1>
<hollyttsprings:FastEthernet0/1, nodeid390:FastEthernet0/1>
<hollyttsprings:FastEthernet1/0, tunica:FastEthernet0/0>
<hope:FastEthernet0/0, arkdelphia:FastEthernet0/0>
<hope:FastEthernet0/1, texarkana:FastEthernet0/1>
<hopkinsville:FastEthernet0/0, madisonville:FastEthernet1/0>
<hopkinsville:FastEthernet0/1, oakttgrove:FastEthernet0/1>
<hotttsprings:FastEthernet0/0, bentonid610:FastEthernet0/0>
<hotttsprings:FastEthernet0/1, malvern:FastEthernet0/1>
<hotttsprings:FastEthernet1/0, morrilton:FastEthernet0/1>
<houston:FastEthernet0/0, liberty:FastEthernet0/1>
<houston:FastEthernet0/1, sealy:FastEthernet0/1>
<hudson:FastEthernet0/0, eauttclaire:FastEthernet1/0>
<hudson:FastEthernet0/1, minneapolis:FastEthernet1/0>
<hudson:FastEthernet1/0, riverttfalls:FastEthernet0/0>
<huntingdon:FastEthernet0/0, dickson:FastEthernet0/1>
<huntingdon:FastEthernet0/1, jacksonid228:FastEthernet0/0>
<huntingdon:FastEthernet1/0, mckenzie:FastEthernet0/0>
<huntington:FastEthernet0/0, ashland:FastEthernet0/0>
<huntington:FastEthernet0/1, charleston:FastEthernet0/1>
<huntingtonid730:FastEthernet0/0, marionid725:FastEthernet0/0>
<huntingtonid730:FastEthernet0/1, northttmanchester:FastEthernet0/1>
<huntsville:FastEthernet0/0, athensid283:FastEthernet0/0>
<huntsville:FastEthernet0/1, guntersville:FastEthernet0/1>
<hyden:FastEthernet0/0, hazard:FastEthernet0/0>
<hyden:FastEthernet0/1, manchesterid679:FastEthernet0/1>
<indianapolis:FastEthernet0/0, anderson:FastEthernet0/0>
<indianapolis:FastEthernet0/1, frankfort:FastEthernet0/0>
<indianapolis:FastEthernet1/0, greenwood:FastEthernet0/1>
<indianapolis:FastEthernet1/1, martinsvilleid200:FastEthernet1/0>
<indianapolis:FastEthernet2/0, nobleville:FastEthernet0/0>
<indianapolis:FastEthernet2/1, plainfield:FastEthernet0/1>
<indianapolis:FastEthernet3/0, shelbyville:FastEthernet1/0>
<iowattcity:FastEthernet0/0, cedarttrapids:FastEthernet0/0>
<iowattcity:FastEthernet0/1, davenport:FastEthernet1/0>
<ironttmountain:FastEthernet0/0, escanaba:FastEthernet0/0>
<ironttmountain:FastEthernet0/1, greenttbay:FastEthernet0/1>
<ironwood:FastEthernet0/0, hancock:FastEthernet0/0>
<ironwood:FastEthernet0/1, watersmeet:FastEthernet0/0>
<jackson:FastEthernet0/0, mcintosh:FastEthernet0/1>
<jackson:FastEthernet0/1, thomasville:FastEthernet0/1>
<jacksonid228:FastEthernet0/0, huntingdon:FastEthernet0/1>
<jacksonid228:FastEthernet0/1, milan:FastEthernet0/0>
<jacksonid228:FastEthernet1/0, nodeid391:FastEthernet0/1>
<jacksonid286:FastEthernet0/0, stanton:FastEthernet0/0>
<jacksonid434:FastEthernet0/0, crystalttsprings:FastEthernet0/1>
<jacksonid434:FastEthernet0/1, forest:FastEthernet0/0>
<jacksonid434:FastEthernet1/0, vicksburg:FastEthernet0/0>
<jacksonid434:FastEthernet1/1, yazoottcity:FastEthernet0/1>
<jacksonid519:FastEthernet0/0, annttarbor:FastEthernet0/0>
<jacksonid519:FastEthernet0/1, battlettcreek:FastEthernet0/0>
<jacksonville:FastEthernet0/0, nacagdoches:FastEthernet0/0>
<jacksonville:FastEthernet0/1, tyler:FastEthernet0/1>
<jacksonvilleid527:FastEthernet0/0, perry:FastEthernet0/0>
<jacksonvilleid527:FastEthernet0/1, springfield:FastEthernet0/1>
<jacksonvilleid684:FastEthernet0/0, baldwin:FastEthernet0/0>
<jacksonvilleid684:FastEthernet0/1, folkston:FastEthernet0/0>
<janesville:FastEthernet0/0, afton:FastEthernet0/0>
<janesville:FastEthernet0/1, beloit:FastEthernet0/0>
<jasper:FastEthernet0/0, corydon:FastEthernet0/0>
<jasper:FastEthernet0/1, oaklandttcity:FastEthernet0/0>
<jasperid555:FastEthernet0/0, birmingham:FastEthernet1/0>
<jasperid555:FastEthernet0/1, tuscaloosa:FastEthernet0/1>
<jefferson:FastEthernet0/0, madisonid315:FastEthernet0/1>
<jefferson:FastEthernet0/1, waukesha:FastEthernet0/1>
<jeffersonttcity:FastEthernet0/0, columbiaid120:FastEthernet0/1>
<jeffersonttcity:FastEthernet0/1, union:FastEthernet0/0>
<jeffersonttcityid454:FastEthernet0/0, morristown:FastEthernet0/0>
<jeffersonttcityid454:FastEthernet0/1, sevierville:FastEthernet0/0>
<jeffersonville:FastEthernet0/0, louisville:FastEthernet0/1>
<jeffersonville:FastEthernet0/1, newttalbany:FastEthernet0/1>
<jeffersonville:FastEthernet1/0, nodeid339:FastEthernet0/1>
<jeffersonville:FastEthernet1/1, sellersburg:FastEthernet0/0>
<jennings:FastEthernet0/0, lafayetteid536:FastEthernet0/1>
<jennings:FastEthernet0/1, lakettcharles:FastEthernet0/1>
<jesup:FastEthernet0/0, folkston:FastEthernet0/1>
<jesup:FastEthernet0/1, savannah:FastEthernet0/1>
<johnsonttcity:FastEthernet0/0, boone:FastEthernet0/0>
<johnsonttcity:FastEthernet0/1, kingsport:FastEthernet0/1>
<johnsonttcity:FastEthernet1/0, nodeid347:FastEthernet0/1>
<johnston:FastEthernet0/0, augusta:FastEthernet0/1>
<johnston:FastEthernet0/1, columbiaid471:FastEthernet0/0>
<johnstown:FastEthernet0/0, altoona:FastEthernet0/0>
<johnstown:FastEthernet0/1, clymer:FastEthernet0/0>
<johnstown:FastEthernet1/0, greensburgid593:FastEthernet0/0>
<joliet:FastEthernet0/0, chicago:FastEthernet0/1>
<joliet:FastEthernet0/1, lattsalle:FastEthernet0/0>
<jonesboro:FastEthernet0/0, memphis:FastEthernet0/1>
<jonesboro:FastEthernet0/1, paragould:FastEthernet0/0>
<joplin:FastEthernet0/0, mountttvernon:FastEthernet0/0>
<joplin:FastEthernet0/1, neosho:FastEthernet0/1>
<joplin:FastEthernet1/0, nevada:FastEthernet0/1>
<kalamazoo:FastEthernet0/0, battlettcreek:FastEthernet0/1>
<kalamazoo:FastEthernet0/1, byronttcenter:FastEthernet0/1>
<kalamazoo:FastEthernet1/0, elkhart:FastEthernet1/0>
<kankakee:FastEthernet0/0, chicago:FastEthernet1/0>
<kankakee:FastEthernet0/1, paxton:FastEthernet0/1>
<kansasttcity:FastEthernet0/0, harrisonville:FastEthernet0/0>
<kansasttcity:FastEthernet0/1, leesttsummit:FastEthernet0/0>
<kendalville:FastEthernet0/0, auburn:FastEthernet0/1>
<kendalville:FastEthernet0/1, bryan:FastEthernet0/0>
<kendalville:FastEthernet1/0, columbiattcity:FastEthernet0/0>
<kendalville:FastEthernet1/1, goshen:FastEthernet0/1>
<kenosha:FastEthernet0/0, libertyville:FastEthernet0/0>
<kenosha:FastEthernet0/1, racine:FastEthernet0/0>
<kentwood:FastEthernet0/0, hammond:FastEthernet0/1>
<kentwood:FastEthernet0/1, mccomb:FastEthernet1/0>
<keysville:FastEthernet0/0, farmville:FastEthernet0/0>
<keysville:FastEthernet0/1, petersburg:FastEthernet0/1>
<killen:FastEthernet0/0, florenceid274:FastEthernet0/0>
<killen:FastEthernet0/1, loretto:FastEthernet0/0>
<killen:FastEthernet1/0, rogersville:FastEthernet0/1>
<kilmarnock:FastEthernet0/0, heathsville:FastEthernet0/0>
<kingsport:FastEthernet0/0, bristol:FastEthernet0/1>
<kingsport:FastEthernet0/1, johnsonttcity:FastEthernet0/1>
<knoxville:FastEthernet0/0, maryville:FastEthernet0/1>
<knoxville:FastEthernet0/1, nodeid564:FastEthernet0/0>
<knoxville:FastEthernet1/0, nodeid60:FastEthernet0/1>
<knoxville:FastEthernet1/1, oakttridge:FastEthernet0/1>
<kokomo:FastEthernet0/0, lafayette:FastEthernet1/0>
<kokomo:FastEthernet0/1, marionid725:FastEthernet0/1>
<lafayette:FastEthernet0/0, crawfordsville:FastEthernet0/0>
<lafayette:FastEthernet0/1, danvilleid734:FastEthernet0/1>
<lafayette:FastEthernet1/0, kokomo:FastEthernet0/0>
<lafayette:FastEthernet1/1, remington:FastEthernet0/1>
<lafayetteid536:FastEthernet0/0, batonttrouge:FastEthernet0/0>
<lafayetteid536:FastEthernet0/1, jennings:FastEthernet0/0>
<lafayetteid536:FastEthernet1/0, opelousas:FastEthernet0/1>
<lagrange:FastEthernet0/0, angola:FastEthernet0/0>
<lagrange:FastEthernet0/1, elkhart:FastEthernet1/1>
<lakettcharles:FastEthernet0/0, beaumont:FastEthernet0/0>
<lakettcharles:FastEthernet0/1, jennings:FastEthernet0/1>
<lakettcharles:FastEthernet1/0, leesville:FastEthernet0/1>
<lakettcity:FastEthernet0/0, baldwin:FastEthernet0/1>
<lakettcity:FastEthernet0/1, livettoak:FastEthernet0/1>
<lancaster:FastEthernet0/0, columbusid715:FastEthernet0/1>
<lancaster:FastEthernet0/1, logan:FastEthernet0/1>
<lansing:FastEthernet0/0, byronttcenter:FastEthernet1/0>
<lattcrosee:FastEthernet0/0, platteville:FastEthernet1/0>
<lattcrosee:FastEthernet0/1, tomah:FastEthernet0/0>
<lattcrosee:FastEthernet1/0, winona:FastEthernet0/0>
<lattfayette:FastEthernet0/0, chattanooga:FastEthernet0/1>
<lattfayette:FastEthernet0/1, dalton:FastEthernet1/1>
<lattfayette:FastEthernet1/0, rome:FastEthernet0/1>
<lattgrange:FastEthernet0/0, carrolltonid693:FastEthernet0/1>
<lattgrange:FastEthernet0/1, manchester:FastEthernet0/1>
<lattgrange:FastEthernet1/0, westttpoint:FastEthernet1/0>
<lattsalle:FastEthernet0/0, joliet:FastEthernet0/1>
<lattsalle:FastEthernet0/1, princetonid731:FastEthernet0/0>
<lattsalle:FastEthernet1/0, sheffield:FastEthernet0/0>
<laurel:FastEthernet0/0, meridian:FastEthernet1/1>
<lawrenceburg:FastEthernet0/0, columbia:FastEthernet1/0>
<lawrenceburg:FastEthernet0/1, loretto:FastEthernet0/1>
<lawrenceburg:FastEthernet1/0, pulaski:FastEthernet0/0>
<lawrenceville:FastEthernet0/0, olney:FastEthernet0/1>
<lawton:FastEthernet0/0, chickasha:FastEthernet0/0>
<lawton:FastEthernet0/1, wichitattfalls:FastEthernet0/1>
<lebanon:FastEthernet0/0, nodeid343:FastEthernet1/0>
<lebanonid132:FastEthernet0/0, harrisburg:FastEthernet0/1>
<lebanonid132:FastEthernet0/1, reading:FastEthernet0/0>
<lebanonid351:FastEthernet0/0, abingdon:FastEthernet0/1>
<lebanonid351:FastEthernet0/1, richlands:FastEthernet0/1>
<lebanonid412:FastEthernet0/0, crawfordsville:FastEthernet0/1>
<lebanonid412:FastEthernet0/1, westfield:FastEthernet0/0>
<lebanonid595:FastEthernet0/0, cookeville:FastEthernet0/1>
<lebanonid595:FastEthernet0/1, nashville:FastEthernet1/1>
<lebanonid595:FastEthernet1/0, smithville:FastEthernet0/0>
<lebanonid751:FastEthernet0/0, rolla:FastEthernet0/0>
<lebanonid751:FastEthernet0/1, springfieldid745:FastEthernet0/0>
<leesburg:FastEthernet0/0, ashburn:FastEthernet0/1>
<leesburg:FastEthernet0/1, frederick:FastEthernet0/1>
<leesttsummit:FastEthernet0/0, kansasttcity:FastEthernet0/1>
<leesttsummit:FastEthernet0/1, warrensburg:FastEthernet0/0>
<leesville:FastEthernet0/0, alexandria:FastEthernet0/0>
<leesville:FastEthernet0/1, lakettcharles:FastEthernet1/0>
<leitchfield:FastEthernet0/0, beaverttdam:FastEthernet0/1>
<leitchfield:FastEthernet0/1, centralttcity:FastEthernet0/0>
<lenoir:FastEthernet0/0, boone:FastEthernet0/1>
<lenoir:FastEthernet0/1, morganton:FastEthernet0/0>
<lewisburg:FastEthernet0/0, nodeid269:FastEthernet0/1>
<lewistown:FastEthernet0/0, mountttunion:FastEthernet0/1>
<lewistown:FastEthernet0/1, newport:FastEthernet0/1>
<lexington:FastEthernet0/0, danvilleid290:FastEthernet0/0>
