<addison:FastEthernet0/0, nodeidh93:FastEthernet0/0>
<nashville:FastEthernet1/1, memphis:FastEthernet0/1>
<newark:FastEthernet0/0, philadelphia:FastEthernet1/1>
<newcastle:FastEthernet0/0, edinburgh:FastEthernet0/1>
<newcastle:FastEthernet0/1, leeds:FastEthernet1/0>
<newport:FastEthernet0/0, nodeidh111:FastEthernet1/0>
<newport:FastEthernet0/1, nodeidh114:FastEthernet0/0>
<newttorleans:FastEthernet0/0, jackson:FastEthernet0/1>
<newttorleans:FastEthernet0/1, nodeidg144:FastEthernet0/1>
<newttorleans:FastEthernet1/0, tampa:FastEthernet0/1>
<newttyork:FastEthernet0/0, albany:FastEthernet1/0>
<newttyork:FastEthernet0/1, london:FastEthernet3/0>
<newttyork:FastEthernet1/0, paris:FastEthernet1/1>
<newttyork:FastEthernet1/1, stamford:FastEthernet0/0>
<newttyorkttcity:FastEthernet0/0, harriman:FastEthernet0/1>
<newttyorkttcity:FastEthernet0/1, putnamttvalley:FastEthernet0/0>
<nice:FastEthernet0/0, nodeidg172:FastEthernet0/1>
<nodeidg144:FastEthernet0/0, houston:FastEthernet1/0>
<nodeidg144:FastEthernet0/1, newttorleans:FastEthernet0/1>
<nodeidg144:FastEthernet1/0, nodeidg149:FastEthernet0/1>
<nodeidg147:FastEthernet0/0, dublin:FastEthernet1/0>
<nodeidg147:FastEthernet0/1, manchester:FastEthernet1/1>
<nodeidg147:FastEthernet1/0, slough:FastEthernet0/0>
<nodeidg148:FastEthernet0/0, charlotte:FastEthernet0/1>
<nodeidg148:FastEthernet0/1, greensboro:FastEthernet0/0>
<nodeidg148:FastEthernet1/0, washington:FastEthernet1/1>
<nodeidg149:FastEthernet0/0, jackson:FastEthernet1/0>
<nodeidg149:FastEthernet0/1, nodeidg144:FastEthernet1/0>
<nodeidg149:FastEthernet1/0, nodeidg150:FastEthernet1/0>
<nodeidg150:FastEthernet0/0, atlanta:FastEthernet1/1>
<nodeidg150:FastEthernet0/1, birmingham:FastEthernet0/1>
<nodeidg150:FastEthernet1/0, nodeidg149:FastEthernet1/0>
<nodeidg171:FastEthernet0/0, barcelona:FastEthernet0/0>
<nodeidg171:FastEthernet0/1, montpellier:FastEthernet0/1>
<nodeidg171:FastEthernet1/0, toulouse:FastEthernet0/1>
<nodeidg172:FastEthernet0/0, genoa:FastEthernet0/1>
<nodeidg172:FastEthernet0/1, nice:FastEthernet0/0>
<nodeidg172:FastEthernet1/0, sophia:FastEthernet0/1>
<nodeidg173:FastEthernet0/0, luxembourg:FastEthernet0/1>
<nodeidg173:FastEthernet0/1, reims:FastEthernet0/0>
<nodeidg173:FastEthernet1/0, strasbourg:FastEthernet0/1>
<nodeidg174:FastEthernet0/0, ljubljana:FastEthernet0/0>
<nodeidg174:FastEthernet0/1, paduadashvenice:FastEthernet1/0>
<nodeidg174:FastEthernet1/0, vienna:FastEthernet1/0>
<nodeidg175:FastEthernet0/0, bucharest:FastEthernet1/1>
<nodeidg175:FastEthernet0/1, kapitanttandreevo:FastEthernet0/1>
<nodeidg175:FastEthernet1/0, sofia:FastEthernet0/0>
<nodeidg176:FastEthernet0/0, bucharest:FastEthernet2/0>
<nodeidg176:FastEthernet0/1, sofia:FastEthernet0/1>
<nodeidg176:FastEthernet1/0, timisoara:FastEthernet0/1>
<nodeidh109:FastEthernet0/0, burdett:FastEthernet0/0>
<nodeidh109:FastEthernet0/1, ithaca:FastEthernet0/0>
<nodeidh109:FastEthernet1/0, ovid:FastEthernet0/1>
<nodeidh110:FastEthernet0/0, auburn:FastEthernet0/0>
<nodeidh110:FastEthernet0/1, phelps:FastEthernet0/1>
<nodeidh110:FastEthernet1/0, syracuse:FastEthernet1/0>
<nodeidh111:FastEthernet0/0, gloversville:FastEthernet0/1>
<nodeidh111:FastEthernet0/1, herkimmer:FastEthernet0/0>
<nodeidh111:FastEthernet1/0, newport:FastEthernet0/0>
<nodeidh111:FastEthernet1/1, nodeidh113:FastEthernet0/0>
<nodeidh112:FastEthernet0/0, nodeidh113:FastEthernet0/1>
<nodeidh112:FastEthernet0/1, syracuse:FastEthernet1/1>
<nodeidh112:FastEthernet1/0, vernon:FastEthernet0/0>
<nodeidh113:FastEthernet0/0, nodeidh111:FastEthernet1/1>
<nodeidh113:FastEthernet0/1, nodeidh112:FastEthernet0/0>
<nodeidh113:FastEthernet1/0, nodeidh114:FastEthernet0/1>
<nodeidh114:FastEthernet0/0, newport:FastEthernet0/1>
<nodeidh114:FastEthernet0/1, nodeidh113:FastEthernet1/0>
<nodeidh114:FastEthernet1/0, remsen:FastEthernet1/0>
<nodeidh123:FastEthernet0/0, millerton:FastEthernet0/0>
<nodeidh123:FastEthernet0/1, nodeidh93:FastEthernet1/0>
<nodeidh123:FastEthernet1/0, odessaidh48:FastEthernet1/1>
<nodeidh124:FastEthernet0/0, auburn:FastEthernet0/1>
<nodeidh124:FastEthernet0/1, dryden:FastEthernet1/0>
<nodeidh124:FastEthernet1/0, ithaca:FastEthernet0/1>
<nodeidh21:FastEthernet0/0, alfred:FastEthernet0/1>
<nodeidh21:FastEthernet0/1, wellsville:FastEthernet0/0>
<nodeidh21:FastEthernet1/0, whitesville:FastEthernet0/1>
<nodeidh22:FastEthernet0/0, alfred:FastEthernet1/0>
<nodeidh22:FastEthernet0/1, wellsville:FastEthernet0/1>
<nodeidh22:FastEthernet1/0, whitesville:FastEthernet1/0>
<nodeidh24:FastEthernet0/0, germantown:FastEthernet0/1>
<nodeidh24:FastEthernet0/1, poughkeepsie:FastEthernet0/0>
<nodeidh30:FastEthernet0/0, burlington:FastEthernet1/1>
<nodeidh30:FastEthernet0/1, nodeidh31:FastEthernet0/0>
<nodeidh31:FastEthernet0/0, nodeidh30:FastEthernet0/1>
<nodeidh31:FastEthernet0/1, winooski:FastEthernet0/1>
<nodeidh89:FastEthernet0/0, canton:FastEthernet0/0>
<nodeidh89:FastEthernet0/1, gouveneur:FastEthernet0/0>
<nodeidh89:FastEthernet1/0, nodeidh90:FastEthernet0/0>
<nodeidh90:FastEthernet0/0, nodeidh89:FastEthernet1/0>
<nodeidh90:FastEthernet0/1, nodeidh96:FastEthernet0/0>
<nodeidh91:FastEthernet0/0, malone:FastEthernet0/0>
<nodeidh91:FastEthernet0/1, massena:FastEthernet0/0>
<nodeidh92:FastEthernet0/0, middleburgh:FastEthernet1/0>
<nodeidh92:FastEthernet0/1, saratogattsprings:FastEthernet0/0>
<nodeidh93:FastEthernet0/0, addison:FastEthernet0/0>
<nodeidh93:FastEthernet0/1, corning:FastEthernet0/1>
<nodeidh93:FastEthernet1/0, nodeidh123:FastEthernet0/1>
<nodeidh94:FastEthernet0/0, cassadaga:FastEthernet0/1>
<nodeidh94:FastEthernet0/1, jamestown:FastEthernet0/0>
<nodeidh94:FastEthernet1/0, salamanca:FastEthernet0/0>
<nodeidh95:FastEthernet0/0, barre:FastEthernet0/1>
<nodeidh95:FastEthernet0/1, empiretttelephonettco:FastEthernet0/0>
<nodeidh95:FastEthernet1/0, rochester:FastEthernet0/0>
<nodeidh96:FastEthernet0/0, nodeidh90:FastEthernet0/1>
<nodeidh96:FastEthernet0/1, paulttsmiths:FastEthernet0/0>
<nodeidh96:FastEthernet1/0, potsdam:FastEthernet1/0>
<norwich:FastEthernet0/0, binghampton:FastEthernet1/0>
<nuremberg:FastEthernet0/0, dresden:FastEthernet0/1>
<nuremberg:FastEthernet0/1, munich:FastEthernet0/0>
<oakland:FastEthernet0/0, sacramento:FastEthernet0/0>
<oakland:FastEthernet0/1, santtfrancisco:FastEthernet0/0>
<odessa:FastEthernet0/0, galati:FastEthernet0/1>
<odessa:FastEthernet0/1, kiev:FastEthernet1/0>
<odessaidh48:FastEthernet0/0, burdett:FastEthernet0/1>
<odessaidh48:FastEthernet0/1, elmira:FastEthernet0/1>
<odessaidh48:FastEthernet1/0, ingleside:FastEthernet0/1>
<odessaidh48:FastEthernet1/1, nodeidh123:FastEthernet1/0>
<ogdensburg:FastEthernet0/0, alexandriattbay:FastEthernet0/0>
<ogdensburg:FastEthernet0/1, massena:FastEthernet0/1>
<oklahomattcity:FastEthernet0/0, fortttworth:FastEthernet0/1>
<oklahomattcity:FastEthernet0/1, tulsa:FastEthernet1/1>
<olean:FastEthernet0/0, salamanca:FastEthernet0/1>
<olean:FastEthernet0/1, wellsville:FastEthernet1/0>
<omaha:FastEthernet0/0, desttmoines:FastEthernet1/0>
<oneonta:FastEthernet0/0, cobleskill:FastEthernet0/1>
<oneonta:FastEthernet0/1, cooperstown:FastEthernet0/1>
<orangettcounty:FastEthernet0/0, losttangeles:FastEthernet0/1>
<orangettcounty:FastEthernet0/1, santtdiego:FastEthernet0/0>
<orlando:FastEthernet0/0, jacksonville:FastEthernet0/1>
<orlando:FastEthernet0/1, miami:FastEthernet0/1>
<orlando:FastEthernet1/0, tampa:FastEthernet1/0>
<oslo:FastEthernet0/0, copenhagen:FastEthernet1/0>
<oslo:FastEthernet0/1, stockholm:FastEthernet1/0>
<ovid:FastEthernet0/0, genevaidh51:FastEthernet0/0>
<ovid:FastEthernet0/1, nodeidh109:FastEthernet1/0>
<paduadashvenice:FastEthernet0/0, bologna:FastEthernet0/1>
<paduadashvenice:FastEthernet0/1, milan:FastEthernet0/1>
<paduadashvenice:FastEthernet1/0, nodeidg174:FastEthernet0/1>
<paris:FastEthernet0/0, brussels:FastEthernet1/0>
<paris:FastEthernet0/1, lille:FastEthernet0/1>
<paris:FastEthernet1/0, lyon:FastEthernet1/1>
<paris:FastEthernet1/1, newttyork:FastEthernet1/0>
<paris:FastEthernet2/0, reims:FastEthernet0/1>
<paris:FastEthernet2/1, rouen:FastEthernet0/1>
<paris:FastEthernet3/0, slough:FastEthernet0/1>
<paris:FastEthernet3/1, tours:FastEthernet0/0>
<paris:FastEthernet4/0, washington:FastEthernet2/0>
<paulttsmiths:FastEthernet0/0, nodeidh96:FastEthernet0/1>
<paulttsmiths:FastEthernet0/1, saranacttlake:FastEthernet0/1>
<peertimisoara0:FastEthernet0/0, timisoara:FastEthernet1/1>
<phelps:FastEthernet0/0, genevaidh51:FastEthernet0/1>
<phelps:FastEthernet0/1, nodeidh110:FastEthernet0/1>
<phelps:FastEthernet1/0, rochester:FastEthernet0/1>
<phelps:FastEthernet1/1, waterloo:FastEthernet0/0>
<philadelphia:FastEthernet0/0, baltimore:FastEthernet0/0>
<philadelphia:FastEthernet0/1, frankfurt:FastEthernet1/1>
<philadelphia:FastEthernet1/0, harrisburg:FastEthernet0/0>
<philadelphia:FastEthernet1/1, newark:FastEthernet0/0>
<phoenix:FastEthernet0/0, elttpaso:FastEthernet0/1>
<phoenix:FastEthernet0/1, santtdiego:FastEthernet0/1>
<pittsburgh:FastEthernet0/0, cleveland:FastEthernet2/0>
<pittsburgh:FastEthernet0/1, harrisburg:FastEthernet0/1>
<plattsburgh:FastEthernet0/0, chazy:FastEthernet0/1>
<plattsburgh:FastEthernet0/1, chesterfield:FastEthernet0/0>
<plattsburgh:FastEthernet1/0, malone:FastEthernet0/1>
<poiters:FastEthernet0/0, bordeaux:FastEthernet0/0>
<poiters:FastEthernet0/1, nantes:FastEthernet0/0>
<poiters:FastEthernet1/0, tours:FastEthernet0/1>
<portland:FastEthernet0/0, boise:FastEthernet0/0>
<portland:FastEthernet0/1, sacramento:FastEthernet0/1>
<portland:FastEthernet1/0, seattle:FastEthernet0/0>
<porto:FastEthernet0/0, coimbra:FastEthernet1/0>
<porto:FastEthernet0/1, vigo:FastEthernet0/1>
<portttjervis:FastEthernet0/0, monroe:FastEthernet0/1>
<portttjervis:FastEthernet0/1, rowland:FastEthernet0/0>
<potsdam:FastEthernet0/0, canton:FastEthernet0/1>
<potsdam:FastEthernet0/1, massena:FastEthernet1/0>
<potsdam:FastEthernet1/0, nodeidh96:FastEthernet1/0>
<poughkeepsie:FastEthernet0/0, nodeidh24:FastEthernet0/1>
<poughkeepsie:FastEthernet0/1, putnamttvalley:FastEthernet0/1>
<prague:FastEthernet0/0, brno:FastEthernet1/0>
<prague:FastEthernet0/1, dresden:FastEthernet1/0>
<providence:FastEthernet0/0, boston:FastEthernet1/0>
<providence:FastEthernet0/1, stamford:FastEthernet0/1>
<pulaski:FastEthernet0/0, syracuse:FastEthernet2/0>
<pulaski:FastEthernet0/1, watertown:FastEthernet1/1>
<putnamttvalley:FastEthernet0/0, newttyorkttcity:FastEthernet0/1>
<putnamttvalley:FastEthernet0/1, poughkeepsie:FastEthernet0/1>
<putney:FastEthernet0/0, brattleboro:FastEthernet2/0>
<queensbury:FastEthernet0/0, albanyidh64:FastEthernet1/0>
<queensbury:FastEthernet0/1, schroonttlake:FastEthernet0/1>
<queretaro:FastEthernet0/0, guadalajara:FastEthernet0/0>
<queretaro:FastEthernet0/1, mexicottcity:FastEthernet0/0>
<queretaro:FastEthernet1/0, monterrey:FastEthernet0/1>
<raleigh:FastEthernet0/0, greensboro:FastEthernet0/1>
<reims:FastEthernet0/0, nodeidg173:FastEthernet0/1>
<reims:FastEthernet0/1, paris:FastEthernet2/0>
<remsen:FastEthernet0/0, boonville:FastEthernet0/1>
<remsen:FastEthernet0/1, bucharest:FastEthernet2/1>
<remsen:FastEthernet1/0, nodeidh114:FastEthernet1/0>
<rennes:FastEthernet0/0, caen:FastEthernet0/0>
<rennes:FastEthernet0/1, nantes:FastEthernet0/1>
<rochester:FastEthernet0/0, nodeidh95:FastEthernet1/0>
<rochester:FastEthernet0/1, phelps:FastEthernet1/0>
<rome:FastEthernet0/0, arezzo:FastEthernet0/1>
<rome:FastEthernet0/1, genoa:FastEthernet1/0>
<rotterdam:FastEthernet0/0, slough:FastEthernet1/0>
<rouen:FastEthernet0/0, caen:FastEthernet0/1>
<rouen:FastEthernet0/1, paris:FastEthernet2/1>
<rowland:FastEthernet0/0, portttjervis:FastEthernet0/1>
<rowland:FastEthernet0/1, southttcanaan:FastEthernet0/1>
<rutland:FastEthernet0/0, burlington:FastEthernet2/0>
<rutland:FastEthernet0/1, manchesteridh99:FastEthernet0/1>
<rutland:FastEthernet1/0, whitehall:FastEthernet0/1>
<sacramento:FastEthernet0/0, oakland:FastEthernet0/0>
<sacramento:FastEthernet0/1, portland:FastEthernet0/1>
<sacramento:FastEthernet1/0, saltttlakettcity:FastEthernet1/0>
<salamanca:FastEthernet0/0, nodeidh94:FastEthernet1/0>
<salamanca:FastEthernet0/1, olean:FastEthernet0/0>
<saltttlakettcity:FastEthernet0/0, boise:FastEthernet0/1>
<saltttlakettcity:FastEthernet0/1, denver:FastEthernet1/0>
<saltttlakettcity:FastEthernet1/0, sacramento:FastEthernet1/0>
<santander:FastEthernet0/0, bilbao:FastEthernet1/1>
<santander:FastEthernet0/1, gijon:FastEthernet0/1>
<santattclara:FastEthernet0/0, losttangeles:FastEthernet1/0>
<santattclara:FastEthernet0/1, santtfrancisco:FastEthernet0/1>
<santtantonio:FastEthernet0/0, austin:FastEthernet0/1>
<santtantonio:FastEthernet0/1, elttpaso:FastEthernet1/0>
<santtantonio:FastEthernet1/0, laredo:FastEthernet0/1>
<santtdiego:FastEthernet0/0, orangettcounty:FastEthernet0/1>
<santtdiego:FastEthernet0/1, phoenix:FastEthernet0/1>
<santtfrancisco:FastEthernet0/0, oakland:FastEthernet0/1>
<santtfrancisco:FastEthernet0/1, santattclara:FastEthernet0/1>
<santtsebastian:FastEthernet0/0, bilbao:FastEthernet1/0>
<santtsebastian:FastEthernet0/1, bordeaux:FastEthernet0/1>
<saranacttlake:FastEthernet0/0, lakettplacid:FastEthernet0/0>
<saranacttlake:FastEthernet0/1, paulttsmiths:FastEthernet0/1>
<saratogattsprings:FastEthernet0/0, nodeidh92:FastEthernet0/1>
<saratogattsprings:FastEthernet0/1, whitehall:FastEthernet1/0>
<saugerties:FastEthernet0/0, albanyidh64:FastEthernet1/1>
<saugerties:FastEthernet0/1, harriman:FastEthernet1/0>
<schroonttlake:FastEthernet0/0, chesterfield:FastEthernet0/1>
<schroonttlake:FastEthernet0/1, queensbury:FastEthernet0/1>
<schroonttlake:FastEthernet1/0, timisoara:FastEthernet1/0>
<seattle:FastEthernet0/0, portland:FastEthernet1/0>
<sevilla:FastEthernet0/0, badajoz:FastEthernet0/1>
<sevilla:FastEthernet0/1, malaga:FastEthernet0/1>
<slough:FastEthernet0/0, nodeidg147:FastEthernet1/0>
<slough:FastEthernet0/1, paris:FastEthernet3/0>
<slough:FastEthernet1/0, rotterdam:FastEthernet0/0>
<sofia:FastEthernet0/0, nodeidg175:FastEthernet1/0>
<sofia:FastEthernet0/1, nodeidg176:FastEthernet0/1>
<sophia:FastEthernet0/0, marseille:FastEthernet1/0>
<sophia:FastEthernet0/1, nodeidg172:FastEthernet1/0>
<southttbend:FastEthernet0/0, chicago:FastEthernet1/0>
<southttbend:FastEthernet0/1, indianapolis:FastEthernet1/0>
<southttbend:FastEthernet1/0, toledo:FastEthernet1/0>
<southttcanaan:FastEthernet0/0, forestttcity:FastEthernet0/1>
<southttcanaan:FastEthernet0/1, rowland:FastEthernet0/1>
<stamford:FastEthernet0/0, newttyork:FastEthernet1/1>
<stamford:FastEthernet0/1, providence:FastEthernet0/1>
<stamford:FastEthernet1/0, whitettplains:FastEthernet0/0>
<stockholm:FastEthernet0/0, helsinki:FastEthernet0/0>
<stockholm:FastEthernet0/1, malmo:FastEthernet0/1>
<stockholm:FastEthernet1/0, oslo:FastEthernet0/1>
<strasbourg:FastEthernet0/0, frankfurt:FastEthernet2/0>
<strasbourg:FastEthernet0/1, nodeidg173:FastEthernet1/0>
<stttlouis:FastEthernet0/0, chicago:FastEthernet1/1>
<stttlouis:FastEthernet0/1, kansasttcity:FastEthernet0/1>
<stuttgart:FastEthernet0/0, mannheim:FastEthernet0/1>
<stuttgart:FastEthernet0/1, munich:FastEthernet0/1>
<stuttgart:FastEthernet1/0, zurich:FastEthernet1/0>
<syracuse:FastEthernet0/0, altmar:FastEthernet0/0>
<syracuse:FastEthernet0/1, buffaloidh67:FastEthernet1/0>
<syracuse:FastEthernet1/0, nodeidh110:FastEthernet1/0>
<syracuse:FastEthernet1/1, nodeidh112:FastEthernet0/1>
<syracuse:FastEthernet2/0, pulaski:FastEthernet0/0>
<tallinn:FastEthernet0/0, helsinki:FastEthernet0/1>
<tampa:FastEthernet0/0, miami:FastEthernet1/0>
<tampa:FastEthernet0/1, newttorleans:FastEthernet1/0>
<tampa:FastEthernet1/0, orlando:FastEthernet1/0>
<timisoara:FastEthernet0/0, budapest:FastEthernet0/1>
<timisoara:FastEthernet0/1, nodeidg176:FastEthernet1/0>
<timisoara:FastEthernet1/0, schroonttlake:FastEthernet1/0>
<timisoara:FastEthernet1/1, peertimisoara0:FastEthernet0/0>
<toledo:FastEthernet0/0, cleveland:FastEthernet2/1>
<toledo:FastEthernet0/1, detroit:FastEthernet0/0>
<toledo:FastEthernet1/0, southttbend:FastEthernet1/0>
<toronto:FastEthernet0/0, hamilton:FastEthernet0/1>
<toronto:FastEthernet0/1, montreal:FastEthernet1/1>
<toulouse:FastEthernet0/0, bordeaux:FastEthernet1/0>
<toulouse:FastEthernet0/1, nodeidg171:FastEthernet1/0>
<tours:FastEthernet0/0, paris:FastEthernet3/1>
<tours:FastEthernet0/1, poiters:FastEthernet1/0>
<tulsa:FastEthernet0/0, dallas:FastEthernet1/0>
<tulsa:FastEthernet0/1, kansasttcity:FastEthernet1/0>
<tulsa:FastEthernet1/0, memphis:FastEthernet1/0>
<tulsa:FastEthernet1/1, oklahomattcity:FastEthernet0/1>
<utica:FastEthernet0/0, herkimmer:FastEthernet0/1>
<utica:FastEthernet0/1, vernon:FastEthernet0/1>
<valencia:FastEthernet0/0, alicante:FastEthernet0/1>
<valencia:FastEthernet0/1, barcelona:FastEthernet0/1>
<valencia:FastEthernet1/0, madrid:FastEthernet0/1>
<varna:FastEthernet0/0, balchik:FastEthernet0/1>
<varna:FastEthernet0/1, burgas:FastEthernet0/1>
<vernon:FastEthernet0/0, nodeidh112:FastEthernet1/0>
<vernon:FastEthernet0/1, utica:FastEthernet0/1>
<vienna:FastEthernet0/0, bratislava:FastEthernet2/0>
<vienna:FastEthernet0/1, munich:FastEthernet1/0>
<vienna:FastEthernet1/0, nodeidg174:FastEthernet1/0>
<vigo:FastEthernet0/0, leon:FastEthernet0/1>
<vigo:FastEthernet0/1, porto:FastEthernet0/1>
<warsaw:FastEthernet0/0, krakow:FastEthernet0/1>
<washington:FastEthernet0/0, baltimore:FastEthernet0/1>
<washington:FastEthernet0/1, harrisburg:FastEthernet1/0>
<washington:FastEthernet1/0, herndon:FastEthernet0/0>
<washington:FastEthernet1/1, nodeidg148:FastEthernet1/0>
<washington:FastEthernet2/0, paris:FastEthernet4/0>
<waterloo:FastEthernet0/0, phelps:FastEthernet1/1>
<watertown:FastEthernet0/0, alexandriattbay:FastEthernet0/1>
<watertown:FastEthernet0/1, gouveneur:FastEthernet0/1>
<watertown:FastEthernet1/0, lowville:FastEthernet0/1>
<watertown:FastEthernet1/1, pulaski:FastEthernet0/1>
<wellsville:FastEthernet0/0, nodeidh21:FastEthernet0/1>
<wellsville:FastEthernet0/1, nodeidh22:FastEthernet0/1>
<wellsville:FastEthernet1/0, olean:FastEthernet0/1>
<westport:FastEthernet0/0, champlain:FastEthernet0/1>
<westport:FastEthernet0/1, crownttpoint:FastEthernet0/1>
<westport:FastEthernet1/0, lakettplacid:FastEthernet0/1>
<whitehall:FastEthernet0/0, crownttpoint:FastEthernet1/0>
<whitehall:FastEthernet0/1, rutland:FastEthernet1/0>
<whitehall:FastEthernet1/0, saratogattsprings:FastEthernet0/1>
<whitesville:FastEthernet0/0, addison:FastEthernet0/1>
<whitesville:FastEthernet0/1, nodeidh21:FastEthernet1/0>
<whitesville:FastEthernet1/0, nodeidh22:FastEthernet1/0>
<whitettplains:FastEthernet0/0, stamford:FastEthernet1/0>
<whitettriverttjunction:FastEthernet0/0, bellowsttfalls:FastEthernet0/1>
<whitettriverttjunction:FastEthernet0/1, lebanon:FastEthernet0/0>
<whitettriverttjunction:FastEthernet1/0, mountpelier:FastEthernet1/0>
<winooski:FastEthernet0/0, burlington:FastEthernet2/1>
<winooski:FastEthernet0/1, nodeidh31:FastEthernet0/1>
<worcester:FastEthernet0/0, albany:FastEthernet1/1>
<worcester:FastEthernet0/1, boston:FastEthernet1/1>
<zagreb:FastEthernet0/0, ljubljana:FastEthernet0/1>
<zaragoza:FastEthernet0/0, logrono:FastEthernet0/1>
<zurich:FastEthernet0/0, basel:FastEthernet0/1>
<zurich:FastEthernet0/1, milan:FastEthernet1/0>
<zurich:FastEthernet1/0, stuttgart:FastEthernet1/0>
